Region,Date,Frequency,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%),Area,Year
Andhra Pradesh,2019-05-31,Monthly,6.09,4788661.0,37.45,Urban,May
Andhra Pradesh,2019-06-30,Monthly,3.8,4824630.0,36.76,Urban,June
Andhra Pradesh,2019-07-31,Monthly,5.64,4657443.0,36.1,Urban,July
Andhra Pradesh,2019-08-31,Monthly,4.61,4743179.0,36.29,Urban,August
Andhra Pradesh,2019-09-30,Monthly,6.01,4733996.0,36.69,Urban,September
Andhra Pradesh,2019-10-31,Monthly,4.7,4774377.0,36.41,Urban,October
Andhra Pradesh,2019-11-30,Monthly,7.54,4668772.0,36.62,Urban,November
Andhra Pradesh,2019-12-31,Monthly,7.88,4913963.0,38.61,Urban,December
Andhra Pradesh,2020-01-31,Monthly,7.11,4618860.0,35.91,Urban,January
Andhra Pradesh,2020-02-29,Monthly,5.66,4822035.0,36.84,Urban,February
Andhra Pradesh,2020-03-31,Monthly,9.88,4521537.0,36.08,Urban,March
Andhra Pradesh,2020-04-30,Monthly,32.3,2544084.0,26.97,Urban,April
Andhra Pradesh,2020-05-31,Monthly,24.91,3428356.0,32.69,Urban,May
Andhra Pradesh,2020-06-30,Monthly,5.86,4954389.0,37.61,Urban,June
Assam,2019-05-31,Monthly,7.87,1671707.0,44.92,Urban,May
Assam,2019-06-30,Monthly,9.89,1647342.0,45.17,Urban,June
Assam,2019-07-31,Monthly,3.21,1739838.0,44.32,Urban,July
Assam,2019-08-31,Monthly,10.39,1595582.0,43.81,Urban,August
Assam,2019-09-30,Monthly,9.26,1576480.0,42.66,Urban,September
Assam,2019-10-31,Monthly,11.17,1595176.0,44.01,Urban,October
Assam,2019-11-30,Monthly,6.31,1708045.0,44.59,Urban,November
Assam,2019-12-31,Monthly,5.02,1722303.0,44.26,Urban,December
Assam,2020-01-31,Monthly,7.24,1630908.0,42.82,Urban,January
Assam,2020-02-29,Monthly,9.98,1625454.0,43.9,Urban,February
Assam,2020-03-31,Monthly,10.34,1664145.0,45.03,Urban,March
Assam,2020-04-30,Monthly,8.37,1454956.0,38.45,Urban,April
Assam,2020-05-31,Monthly,10.77,1441722.0,39.04,Urban,May
Assam,2020-06-30,Monthly,3.42,1551007.0,38.73,Urban,June
Bihar,2019-05-31,Monthly,19.9,3029344.0,39.8,Urban,May
Bihar,2019-06-30,Monthly,13.29,3248864.0,39.35,Urban,June
Bihar,2019-07-31,Monthly,16.41,3059744.0,38.36,Urban,July
Bihar,2019-08-31,Monthly,17.66,2994763.0,38.03,Urban,August
Bihar,2019-09-30,Monthly,20.46,2992082.0,39.25,Urban,September
Bihar,2019-10-31,Monthly,14.06,3173429.0,38.45,Urban,October
Bihar,2019-11-30,Monthly,17.62,3081077.0,38.86,Urban,November
Bihar,2019-12-31,Monthly,14.91,2977857.0,36.29,Urban,December
Bihar,2020-01-31,Monthly,20.69,2988665.0,38.99,Urban,January
Bihar,2020-02-29,Monthly,15.11,3113464.0,37.87,Urban,February
Bihar,2020-03-31,Monthly,15.73,3049637.0,37.29,Urban,March
Bihar,2020-04-30,Monthly,58.77,1400962.0,34.94,Urban,April
Bihar,2020-05-31,Monthly,37.87,2207026.0,36.45,Urban,May
Bihar,2020-06-30,Monthly,12.45,3124663.0,36.54,Urban,June
Chandigarh,2019-05-31,Monthly,18.35,348042.0,44.89,Urban,May
Chandigarh,2019-06-30,Monthly,12.4,337145.0,40.44,Urban,June
Chandigarh,2019-07-31,Monthly,21.8,294379.0,39.47,Urban,July
Chandigarh,2019-08-31,Monthly,9.52,328282.0,37.95,Urban,August
Chandigarh,2019-09-30,Monthly,20.14,327239.0,42.77,Urban,September
Chandigarh,2019-10-31,Monthly,13.99,330856.0,40.06,Urban,October
Chandigarh,2019-11-30,Monthly,22.05,289593.0,38.6,Urban,November
Chandigarh,2019-12-31,Monthly,8.33,311146.0,35.19,Urban,December
Chandigarh,2020-01-31,Monthly,20.0,332062.0,42.94,Urban,January
Chandigarh,2020-02-29,Monthly,16.67,316887.0,39.25,Urban,February
Chandigarh,2020-03-31,Monthly,21.43,279839.0,36.68,Urban,March
Chandigarh,2020-06-30,Monthly,7.22,306505.0,33.8,Urban,June
Chhattisgarh,2019-05-31,Monthly,9.77,2223129.0,45.61,Urban,May
Chhattisgarh,2019-06-30,Monthly,11.77,2192020.0,45.88,Urban,June
Chhattisgarh,2019-07-31,Monthly,8.17,2285436.0,45.85,Urban,July
Chhattisgarh,2019-08-31,Monthly,6.29,2392400.0,46.91,Urban,August
Chhattisgarh,2019-09-30,Monthly,9.46,2311507.0,46.8,Urban,September
Chhattisgarh,2019-10-31,Monthly,10.27,2297096.0,46.82,Urban,October
Chhattisgarh,2019-11-30,Monthly,8.32,2341284.0,46.59,Urban,November
Chhattisgarh,2019-12-31,Monthly,3.57,2415436.0,45.59,Urban,December
Chhattisgarh,2020-01-31,Monthly,9.01,2315972.0,46.21,Urban,January
Chhattisgarh,2020-02-29,Monthly,9.79,2347941.0,47.14,Urban,February
Chhattisgarh,2020-03-31,Monthly,8.21,2407509.0,47.39,Urban,March
Chhattisgarh,2020-04-30,Monthly,20.13,1066126.0,24.06,Urban,April
Chhattisgarh,2020-05-31,Monthly,24.1,1276291.0,30.24,Urban,May
Chhattisgarh,2020-06-30,Monthly,27.07,1602231.0,39.41,Urban,June
Delhi,2019-05-31,Monthly,12.31,5756475.0,44.17,Urban,May
Delhi,2019-06-30,Monthly,12.76,5550172.0,42.71,Urban,June
Delhi,2019-07-31,Monthly,14.68,5393091.0,42.34,Urban,July
Delhi,2019-08-31,Monthly,13.52,5552510.0,42.9,Urban,August
Delhi,2019-09-30,Monthly,20.59,5642253.0,47.36,Urban,September
Delhi,2019-10-31,Monthly,12.41,6030363.0,45.78,Urban,October
Delhi,2019-11-30,Monthly,16.11,5439600.0,43.02,Urban,November
Delhi,2019-12-31,Monthly,11.07,5718337.0,42.56,Urban,December
Delhi,2020-01-31,Monthly,22.45,5647493.0,48.09,Urban,January
Delhi,2020-02-29,Monthly,14.86,5708807.0,44.18,Urban,February
Delhi,2020-03-31,Monthly,17.09,5401392.0,42.82,Urban,March
Delhi,2020-04-30,Monthly,16.51,3003787.0,23.59,Urban,April
Delhi,2020-05-31,Monthly,45.78,2343783.0,28.28,Urban,May
Delhi,2020-06-30,Monthly,18.11,4306807.0,34.32,Urban,June
Goa,2019-05-31,Monthly,2.75,264855.0,34.17,Urban,May
Goa,2019-06-30,Monthly,13.33,304015.0,43.96,Urban,June
Goa,2019-07-31,Monthly,12.28,280367.0,40.0,Urban,July
Goa,2019-08-31,Monthly,4.9,243277.0,31.97,Urban,August
Goa,2019-09-30,Monthly,3.16,309643.0,39.92,Urban,September
Goa,2019-10-31,Monthly,12.31,290264.0,41.27,Urban,October
Goa,2019-11-30,Monthly,25.2,271612.0,45.22,Urban,November
Goa,2019-12-31,Monthly,16.22,288154.0,42.77,Urban,December
Goa,2020-01-31,Monthly,10.92,257814.0,35.95,Urban,January
Goa,2020-02-29,Monthly,4.31,306396.0,39.73,Urban,February
Goa,2020-03-31,Monthly,4.76,277093.0,36.05,Urban,March
Goa,2020-04-30,Monthly,11.76,318957.0,44.74,Urban,April
Gujarat,2019-05-31,Monthly,4.09,9686558.0,41.67,Urban,May
Gujarat,2019-06-30,Monthly,6.31,10144965.0,44.57,Urban,June
Gujarat,2019-07-31,Monthly,5.15,9828023.0,42.54,Urban,July
Gujarat,2019-08-31,Monthly,4.2,10228154.0,43.72,Urban,August
Gujarat,2019-09-30,Monthly,5.96,9609939.0,41.75,Urban,September
Gujarat,2019-10-31,Monthly,5.45,10474217.0,45.14,Urban,October
Gujarat,2019-11-30,Monthly,7.53,9896129.0,43.5,Urban,November
Gujarat,2019-12-31,Monthly,5.71,10172812.0,43.75,Urban,December
Gujarat,2020-01-31,Monthly,5.82,9824501.0,42.19,Urban,January
Gujarat,2020-02-29,Monthly,6.04,10784753.0,46.31,Urban,February
Gujarat,2020-03-31,Monthly,5.39,10083026.0,42.9,Urban,March
Gujarat,2020-04-30,Monthly,25.94,6701284.0,36.33,Urban,April
Gujarat,2020-05-31,Monthly,11.62,6072776.0,27.52,Urban,May
Gujarat,2020-06-30,Monthly,4.54,10574711.0,44.26,Urban,June
Haryana,2019-05-31,Monthly,24.67,2693596.0,43.18,Urban,May
Haryana,2019-06-30,Monthly,20.42,2845190.0,43.06,Urban,June
Haryana,2019-07-31,Monthly,25.45,2405973.0,38.77,Urban,July
Haryana,2019-08-31,Monthly,24.19,2523005.0,39.87,Urban,August
Haryana,2019-09-30,Monthly,26.84,2675862.0,43.7,Urban,September
Haryana,2019-10-31,Monthly,21.04,2821456.0,42.58,Urban,October
Haryana,2019-11-30,Monthly,27.06,2404239.0,39.18,Urban,November
Haryana,2019-12-31,Monthly,23.65,2548835.0,39.57,Urban,December
Haryana,2020-01-31,Monthly,27.24,2630938.0,42.75,Urban,January
Haryana,2020-02-29,Monthly,23.29,2752834.0,42.32,Urban,February
Haryana,2020-03-31,Monthly,27.14,2275407.0,36.73,Urban,March
Haryana,2020-04-30,Monthly,46.89,1606580.0,35.48,Urban,April
Haryana,2020-05-31,Monthly,38.46,2013083.0,38.27,Urban,May
Haryana,2020-06-30,Monthly,29.41,2304138.0,38.09,Urban,June
Himachal Pradesh,2019-05-31,Monthly,10.88,245668.0,45.27,Urban,May
Himachal Pradesh,2019-06-30,Monthly,21.43,237576.0,49.58,Urban,June
Himachal Pradesh,2019-07-31,Monthly,21.51,235894.0,49.22,Urban,July
Himachal Pradesh,2019-08-31,Monthly,24.48,236315.0,51.17,Urban,August
Himachal Pradesh,2019-09-30,Monthly,12.0,247210.0,45.87,Urban,September
Himachal Pradesh,2019-10-31,Monthly,23.77,232322.0,49.69,Urban,October
Himachal Pradesh,2019-11-30,Monthly,27.27,233029.0,52.17,Urban,November
Himachal Pradesh,2019-12-31,Monthly,25.32,241366.0,52.55,Urban,December
Himachal Pradesh,2020-01-31,Monthly,18.15,246596.0,48.92,Urban,January
Himachal Pradesh,2020-02-29,Monthly,27.31,227804.0,50.82,Urban,February
Himachal Pradesh,2020-03-31,Monthly,26.44,221432.0,48.74,Urban,March
Himachal Pradesh,2020-04-30,Monthly,2.7,146957.0,24.42,Urban,April
Himachal Pradesh,2020-05-31,Monthly,50.0,134868.0,43.55,Urban,May
Himachal Pradesh,2020-06-30,Monthly,10.81,224902.0,40.66,Urban,June
Jammu & Kashmir,2019-05-31,Monthly,23.04,1130139.0,46.74,Urban,May
Jammu & Kashmir,2019-06-30,Monthly,19.88,1139815.0,45.17,Urban,June
Jammu & Kashmir,2019-07-31,Monthly,21.55,1183770.0,47.8,Urban,July
Jammu & Kashmir,2019-10-31,Monthly,24.06,1029087.0,42.63,Urban,October
Jammu & Kashmir,2019-11-30,Monthly,14.29,1226793.0,44.92,Urban,November
Jammu & Kashmir,2019-12-31,Monthly,7.02,1209085.0,40.71,Urban,December
Jammu & Kashmir,2020-01-31,Monthly,18.54,1079537.0,41.4,Urban,January
Jammu & Kashmir,2020-02-29,Monthly,19.86,1060116.0,41.23,Urban,February
Jammu & Kashmir,2020-03-31,Monthly,14.29,998103.0,36.21,Urban,March
Jammu & Kashmir,2020-05-31,Monthly,12.96,937435.0,33.33,Urban,May
Jharkhand,2019-05-31,Monthly,17.23,2404033.0,43.25,Urban,May
Jharkhand,2019-06-30,Monthly,20.51,2326911.0,43.51,Urban,June
Jharkhand,2019-07-31,Monthly,15.67,2434579.0,42.82,Urban,July
Jharkhand,2019-08-31,Monthly,20.25,2335406.0,43.35,Urban,August
Jharkhand,2019-09-30,Monthly,21.16,2357627.0,44.18,Urban,September
Jharkhand,2019-10-31,Monthly,19.05,2460196.0,44.82,Urban,October
Jharkhand,2019-11-30,Monthly,17.34,2424281.0,43.17,Urban,November
Jharkhand,2019-12-31,Monthly,22.01,2290170.0,43.14,Urban,December
Jharkhand,2020-01-31,Monthly,22.96,2329293.0,44.33,Urban,January
Jharkhand,2020-02-29,Monthly,19.67,2493023.0,45.42,Urban,February
Jharkhand,2020-03-31,Monthly,16.4,2480661.0,43.34,Urban,March
Jharkhand,2020-04-30,Monthly,61.48,1054829.0,39.92,Urban,April
Jharkhand,2020-05-31,Monthly,70.17,830347.0,40.49,Urban,May
Jharkhand,2020-06-30,Monthly,19.38,2244460.0,40.43,Urban,June
Karnataka,2019-05-31,Monthly,6.56,8638239.0,40.62,Urban,May
Karnataka,2019-06-30,Monthly,5.0,8862498.0,40.89,Urban,June
Karnataka,2019-07-31,Monthly,2.29,8738029.0,39.09,Urban,July
Karnataka,2019-08-31,Monthly,1.27,8614340.0,38.04,Urban,August
Karnataka,2019-09-30,Monthly,3.57,8647794.0,39.0,Urban,September
Karnataka,2019-10-31,Monthly,3.87,8799249.0,39.7,Urban,October
Karnataka,2019-11-30,Monthly,3.44,8613835.0,38.6,Urban,November
Karnataka,2019-12-31,Monthly,1.56,8592376.0,37.66,Urban,December
Karnataka,2020-01-31,Monthly,3.31,8749154.0,38.94,Urban,January
Karnataka,2020-02-29,Monthly,2.88,8924061.0,39.45,Urban,February
Karnataka,2020-03-31,Monthly,4.92,9225835.0,41.55,Urban,March
Karnataka,2020-04-30,Monthly,25.12,7387995.0,42.14,Urban,April
Karnataka,2020-05-31,Monthly,15.88,8669258.0,43.9,Urban,May
Karnataka,2020-06-30,Monthly,6.12,8822411.0,39.93,Urban,June
Kerala,2019-05-31,Monthly,6.11,4605913.0,36.65,Urban,May
Kerala,2019-06-30,Monthly,6.67,4678374.0,37.42,Urban,June
Kerala,2019-07-31,Monthly,7.58,4105211.0,33.13,Urban,July
Kerala,2019-08-31,Monthly,7.69,4448650.0,35.91,Urban,August
Kerala,2019-09-30,Monthly,5.52,4640642.0,36.57,Urban,September
Kerala,2019-10-31,Monthly,5.35,4644510.0,36.49,Urban,October
Kerala,2019-11-30,Monthly,6.71,4062767.0,32.36,Urban,November
Kerala,2019-12-31,Monthly,7.31,4440283.0,35.56,Urban,December
Kerala,2020-01-31,Monthly,6.65,4597507.0,36.53,Urban,January
Kerala,2020-02-29,Monthly,6.08,4624444.0,36.48,Urban,February
Kerala,2020-03-31,Monthly,9.14,4079775.0,33.24,Urban,March
Kerala,2020-04-30,Monthly,21.43,2179106.0,20.51,Urban,April
Kerala,2020-05-31,Monthly,30.28,2826118.0,29.95,Urban,May
Kerala,2020-06-30,Monthly,12.17,4601293.0,38.68,Urban,June
Madhya Pradesh,2019-05-31,Monthly,3.91,6692720.0,38.96,Urban,May
Madhya Pradesh,2019-06-30,Monthly,6.38,6509340.0,38.8,Urban,June
Madhya Pradesh,2019-07-31,Monthly,7.38,6266446.0,37.67,Urban,July
Madhya Pradesh,2019-08-31,Monthly,6.82,6809834.0,40.6,Urban,August
Madhya Pradesh,2019-09-30,Monthly,7.0,6655967.0,39.67,Urban,September
Madhya Pradesh,2019-10-31,Monthly,4.4,6603715.0,38.2,Urban,October
Madhya Pradesh,2019-11-30,Monthly,6.06,6459457.0,37.94,Urban,November
Madhya Pradesh,2019-12-31,Monthly,6.2,6787403.0,39.83,Urban,December
Madhya Pradesh,2020-01-31,Monthly,5.17,6834930.0,39.59,Urban,January
Madhya Pradesh,2020-02-29,Monthly,4.96,6533435.0,37.68,Urban,February
Madhya Pradesh,2020-03-31,Monthly,4.8,6386723.0,36.68,Urban,March
Madhya Pradesh,2020-04-30,Monthly,11.94,4802873.0,29.76,Urban,April
Madhya Pradesh,2020-05-31,Monthly,40.49,3879934.0,35.49,Urban,May
Madhya Pradesh,2020-06-30,Monthly,12.72,6221562.0,38.72,Urban,June
Maharashtra,2019-05-31,Monthly,6.08,16962574.0,38.3,Urban,May
Maharashtra,2019-06-30,Monthly,6.46,17375053.0,39.3,Urban,June
Maharashtra,2019-07-31,Monthly,6.35,17215677.0,38.81,Urban,July
Maharashtra,2019-08-31,Monthly,7.57,16602767.0,37.84,Urban,August
Maharashtra,2019-09-30,Monthly,7.6,17396398.0,39.58,Urban,September
Maharashtra,2019-10-31,Monthly,7.51,17221991.0,39.05,Urban,October
Maharashtra,2019-11-30,Monthly,7.6,17486683.0,39.61,Urban,November
Maharashtra,2019-12-31,Monthly,7.83,16581144.0,37.57,Urban,December
Maharashtra,2020-01-31,Monthly,6.67,16715470.0,37.32,Urban,January
Maharashtra,2020-02-29,Monthly,5.34,17122782.0,37.61,Urban,February
Maharashtra,2020-03-31,Monthly,6.34,17065830.0,37.8,Urban,March
Maharashtra,2020-04-30,Monthly,14.99,12674451.0,30.86,Urban,April
Maharashtra,2020-05-31,Monthly,15.92,12365754.0,30.38,Urban,May
Maharashtra,2020-06-30,Monthly,10.01,16172690.0,37.04,Urban,June
Meghalaya,2019-05-31,Monthly,8.4,228978.0,47.79,Urban,May
Meghalaya,2019-06-30,Monthly,8.66,231252.0,48.29,Urban,June
Meghalaya,2019-07-31,Monthly,4.43,284015.0,56.55,Urban,July
Meghalaya,2019-08-31,Monthly,5.8,259433.0,52.27,Urban,August
Meghalaya,2019-09-30,Monthly,5.3,253887.0,50.77,Urban,September
Meghalaya,2019-10-31,Monthly,7.2,234375.0,47.71,Urban,October
Meghalaya,2019-11-30,Monthly,3.02,293431.0,57.02,Urban,November
Meghalaya,2019-12-31,Monthly,5.21,267417.0,53.04,Urban,December
Meghalaya,2020-01-31,Monthly,4.76,261687.0,51.53,Urban,January
Meghalaya,2020-02-29,Monthly,7.37,233965.0,47.26,Urban,February
Meghalaya,2020-03-31,Monthly,2.8,289735.0,55.64,Urban,March
Meghalaya,2020-04-30,Monthly,17.39,161939.0,36.51,Urban,April
Meghalaya,2020-05-31,Monthly,14.58,222916.0,48.48,Urban,May
Odisha,2019-05-31,Monthly,2.95,2519582.0,41.26,Urban,May
Odisha,2019-06-30,Monthly,2.63,2356290.0,38.39,Urban,June
Odisha,2019-07-31,Monthly,1.78,2542237.0,40.99,Urban,July
Odisha,2019-08-31,Monthly,3.5,2456983.0,40.25,Urban,August
Odisha,2019-09-30,Monthly,3.78,2570663.0,42.15,Urban,September
Odisha,2019-10-31,Monthly,4.5,2456855.0,40.51,Urban,October
Odisha,2019-11-30,Monthly,2.23,2594469.0,41.71,Urban,November
Odisha,2019-12-31,Monthly,3.36,2369048.0,38.46,Urban,December
Odisha,2020-01-31,Monthly,2.28,2561320.0,41.05,Urban,January
Odisha,2020-02-29,Monthly,2.19,2438080.0,38.97,Urban,February
Odisha,2020-03-31,Monthly,3.96,2457952.0,39.93,Urban,March
Odisha,2020-04-30,Monthly,20.5,1303244.0,25.53,Urban,April
Odisha,2020-05-31,Monthly,10.0,1975481.0,34.12,Urban,May
Odisha,2020-06-30,Monthly,2.18,2221069.0,35.24,Urban,June
Puducherry,2019-05-31,Monthly,1.25,283905.0,35.71,Urban,May
Puducherry,2019-06-30,Monthly,0.0,304369.0,37.73,Urban,June
Puducherry,2019-07-31,Monthly,0.0,281117.0,34.77,Urban,July
Puducherry,2019-08-31,Monthly,8.95,312882.0,42.41,Urban,August
Puducherry,2019-09-30,Monthly,1.22,286573.0,35.73,Urban,September
Puducherry,2019-10-31,Monthly,1.17,312548.0,38.86,Urban,October
Puducherry,2019-11-30,Monthly,1.37,275003.0,34.19,Urban,November
Puducherry,2019-12-31,Monthly,5.21,313135.0,40.42,Urban,December
Puducherry,2020-01-31,Monthly,0.57,281698.0,34.59,Urban,January
Puducherry,2020-02-29,Monthly,1.78,310342.0,38.5,Urban,February
Puducherry,2020-03-31,Monthly,0.62,278851.0,34.12,Urban,March
Puducherry,2020-04-30,Monthly,76.74,68122.0,35.54,Urban,April
Puducherry,2020-05-31,Monthly,75.0,64538.0,31.25,Urban,May
Puducherry,2020-06-30,Monthly,4.55,234926.0,29.73,Urban,June
Punjab,2019-05-31,Monthly,13.49,3289918.0,40.03,Urban,May
Punjab,2019-06-30,Monthly,13.17,3307798.0,40.02,Urban,June
Punjab,2019-07-31,Monthly,11.61,3592442.0,42.62,Urban,July
Punjab,2019-08-31,Monthly,11.99,3499863.0,41.61,Urban,August
Punjab,2019-09-30,Monthly,15.69,3227178.0,39.97,Urban,September
Punjab,2019-10-31,Monthly,13.75,3070438.0,37.1,Urban,October
Punjab,2019-11-30,Monthly,10.39,3602243.0,41.82,Urban,November
Punjab,2019-12-31,Monthly,11.97,3575778.0,42.17,Urban,December
Punjab,2020-01-31,Monthly,13.68,3252622.0,39.04,Urban,January
Punjab,2020-02-29,Monthly,11.99,3219227.0,37.82,Urban,February
Punjab,2020-03-31,Monthly,9.97,3601793.0,41.29,Urban,March
Punjab,2020-04-30,Monthly,1.13,2298975.0,23.95,Urban,April
Punjab,2020-05-31,Monthly,20.54,2682658.0,34.71,Urban,May
Punjab,2020-06-30,Monthly,10.55,3047750.0,34.96,Urban,June
Rajasthan,2019-05-31,Monthly,13.62,5108436.0,39.44,Urban,May
Rajasthan,2019-06-30,Monthly,14.36,5241174.0,40.73,Urban,June
Rajasthan,2019-07-31,Monthly,11.67,5372470.0,40.38,Urban,July
Rajasthan,2019-08-31,Monthly,14.71,5195170.0,40.34,Urban,August
Rajasthan,2019-09-30,Monthly,12.63,5176819.0,39.15,Urban,September
Rajasthan,2019-10-31,Monthly,13.02,5384335.0,40.8,Urban,October
Rajasthan,2019-11-30,Monthly,14.3,5306715.0,40.73,Urban,November
Rajasthan,2019-12-31,Monthly,18.04,5109481.0,40.9,Urban,December
Rajasthan,2020-01-31,Monthly,18.82,5157363.0,41.59,Urban,January
Rajasthan,2020-02-29,Monthly,17.02,5288343.0,41.62,Urban,February
Rajasthan,2020-03-31,Monthly,18.54,4964911.0,39.71,Urban,March
Rajasthan,2020-04-30,Monthly,35.53,2932923.0,29.57,Urban,April
Rajasthan,2020-05-31,Monthly,25.35,4225486.0,36.71,Urban,May
Rajasthan,2020-06-30,Monthly,13.04,5275784.0,39.26,Urban,June
Sikkim,2019-05-31,Monthly,8.2,89587.0,48.61,Urban,May
Sikkim,2019-06-30,Monthly,7.76,89702.0,48.13,Urban,June
Sikkim,2019-07-31,Monthly,2.56,108334.0,54.67,Urban,July
Sikkim,2019-08-31,Monthly,4.82,90850.0,46.63,Urban,August
Sikkim,2019-09-30,Monthly,4.81,89450.0,45.61,Urban,September
Sikkim,2019-10-31,Monthly,9.68,87974.0,46.97,Urban,October
Sikkim,2019-11-30,Monthly,4.04,107751.0,53.8,Urban,November
Sikkim,2019-12-31,Monthly,7.37,88035.0,45.24,Urban,December
Sikkim,2020-03-31,Monthly,20.45,86186.0,50.57,Urban,March
Sikkim,2020-04-30,Monthly,5.77,81905.0,40.31,Urban,April
Sikkim,2020-05-31,Monthly,19.75,75456.0,43.32,Urban,May
Sikkim,2020-06-30,Monthly,2.63,76269.0,35.85,Urban,June
Tamil Nadu,2019-05-31,Monthly,0.89,11798080.0,37.31,Urban,May
Tamil Nadu,2019-06-30,Monthly,1.56,12318745.0,39.16,Urban,June
Tamil Nadu,2019-07-31,Monthly,3.18,12054414.0,38.89,Urban,July
Tamil Nadu,2019-08-31,Monthly,9.53,11933093.0,41.13,Urban,August
Tamil Nadu,2019-09-30,Monthly,1.86,11902824.0,37.76,Urban,September
Tamil Nadu,2019-10-31,Monthly,1.13,12223948.0,38.42,Urban,October
Tamil Nadu,2019-11-30,Monthly,2.65,11729952.0,37.38,Urban,November
Tamil Nadu,2019-12-31,Monthly,8.05,12260389.0,41.29,Urban,December
Tamil Nadu,2020-01-31,Monthly,2.05,11926995.0,37.64,Urban,January
Tamil Nadu,2020-02-29,Monthly,3.31,11742101.0,37.48,Urban,February
Tamil Nadu,2020-03-31,Monthly,6.46,10982178.0,36.17,Urban,March
Tamil Nadu,2020-04-30,Monthly,45.55,4632967.0,26.17,Urban,April
Tamil Nadu,2020-05-31,Monthly,25.95,5733921.0,23.77,Urban,May
Tamil Nadu,2020-06-30,Monthly,24.93,7741005.0,31.6,Urban,June
Telangana,2019-05-31,Monthly,1.52,5560649.0,44.59,Urban,May
Telangana,2019-06-30,Monthly,1.43,5683349.0,45.43,Urban,June
Telangana,2019-07-31,Monthly,3.73,5432503.0,44.36,Urban,July
Telangana,2019-08-31,Monthly,4.19,5544693.0,45.39,Urban,August
Telangana,2019-09-30,Monthly,6.19,5668785.0,47.28,Urban,September
Telangana,2019-10-31,Monthly,6.74,5318341.0,44.51,Urban,October
Telangana,2019-11-30,Monthly,5.23,5338119.0,43.87,Urban,November
Telangana,2019-12-31,Monthly,4.22,5317782.0,43.13,Urban,December
Telangana,2020-01-31,Monthly,6.49,5543380.0,45.95,Urban,January
Telangana,2020-02-29,Monthly,6.74,5521496.0,45.78,Urban,February
Telangana,2020-03-31,Monthly,6.1,5313236.0,43.65,Urban,March
Telangana,2020-04-30,Monthly,10.5,3378431.0,29.05,Urban,April
Telangana,2020-05-31,Monthly,36.57,3108830.0,37.63,Urban,May
Telangana,2020-06-30,Monthly,6.92,4577995.0,37.68,Urban,June
Tripura,2019-05-31,Monthly,34.69,423127.0,69.5,Urban,May
Tripura,2019-06-30,Monthly,25.59,408738.0,58.8,Urban,June
Tripura,2019-07-31,Monthly,25.81,410583.0,59.1,Urban,July
Tripura,2019-08-31,Monthly,33.45,368977.0,59.07,Urban,August
Tripura,2019-09-30,Monthly,33.57,418043.0,66.9,Urban,September
Tripura,2019-10-31,Monthly,26.67,414808.0,60.0,Urban,October
Tripura,2019-11-30,Monthly,27.15,427700.0,62.14,Urban,November
Tripura,2019-12-31,Monthly,33.48,399427.0,63.41,Urban,December
Tripura,2020-01-31,Monthly,34.37,450155.0,72.26,Urban,January
Tripura,2020-02-29,Monthly,33.88,415339.0,66.04,Urban,February
Tripura,2020-03-31,Monthly,25.69,450271.0,63.56,Urban,March
Tripura,2020-04-30,Monthly,34.88,296431.0,47.65,Urban,April
Tripura,2020-05-31,Monthly,16.78,384999.0,48.31,Urban,May
Tripura,2020-06-30,Monthly,27.47,391015.0,56.17,Urban,June
Uttar Pradesh,2019-05-31,Monthly,14.4,13391244.0,40.43,Urban,May
Uttar Pradesh,2019-06-30,Monthly,11.62,13624452.0,39.75,Urban,June
Uttar Pradesh,2019-07-31,Monthly,11.8,13862431.0,40.43,Urban,July
Uttar Pradesh,2019-08-31,Monthly,14.73,13580241.0,40.87,Urban,August
Uttar Pradesh,2019-09-30,Monthly,13.58,13522970.0,40.07,Urban,September
Uttar Pradesh,2019-10-31,Monthly,10.35,13938303.0,39.71,Urban,October
Uttar Pradesh,2019-11-30,Monthly,11.31,14128888.0,40.6,Urban,November
Uttar Pradesh,2019-12-31,Monthly,12.37,13857200.0,40.21,Urban,December
Uttar Pradesh,2020-01-31,Monthly,12.34,13656250.0,39.52,Urban,January
Uttar Pradesh,2020-02-29,Monthly,11.65,13803099.0,39.54,Urban,February
Uttar Pradesh,2020-03-31,Monthly,12.32,13889632.0,40.0,Urban,March
Uttar Pradesh,2020-04-30,Monthly,26.94,10944379.0,37.74,Urban,April
Uttar Pradesh,2020-05-31,Monthly,32.06,11111486.0,41.1,Urban,May
Uttar Pradesh,2020-06-30,Monthly,13.05,13208724.0,38.09,Urban,June
Uttarakhand,2019-05-31,Monthly,9.17,676797.0,26.33,Urban,May
Uttarakhand,2019-06-30,Monthly,4.69,906889.0,33.54,Urban,June
Uttarakhand,2019-07-31,Monthly,6.94,859900.0,32.48,Urban,July
Uttarakhand,2019-08-31,Monthly,7.43,823967.0,31.21,Urban,August
Uttarakhand,2019-09-30,Monthly,9.62,711150.0,27.51,Urban,September
Uttarakhand,2019-10-31,Monthly,4.72,925174.0,33.87,Urban,October
Uttarakhand,2019-11-30,Monthly,6.34,904903.0,33.61,Urban,November
Uttarakhand,2019-12-31,Monthly,7.39,844779.0,31.65,Urban,December
Uttarakhand,2020-01-31,Monthly,8.92,725253.0,27.55,Urban,January
